User-ID,Book-Rating,Book-Title
2276,10,The Natural Superiority of Women
2276,9,Outrageous Acts and Everyday Rebellions
2276,8,The Associate
11676,7,The Associate
172742,7,The Associate
190925,7,The Associate
2276,8,Twice Dying
2276,9,People of Darkness (Jim Chee Novels)
31556,8,People of Darkness (Jim Chee Novels)
56399,10,People of Darkness (Jim Chee Novels)
2276,7,The Fat Flush Cookbook
2276,8,Cultural awareness in the human services (Prentice-Hall series in social work practice)
2276,9,Female sexual slavery
2276,6,The Word Processing Handbook
2276,10,Conduct Unbecoming
2276,9,Demeter flower
2276,10,"Elvenblood: An Epic High Fantasy (Halfblood Chronicles, Book 2)"
2276,9,The Trophy Wife
2276,8,Area 7
25981,5,Area 7
2276,10,The Janson Directive
2276,9,Creative Writing (Teach Yourself Books)
2276,8,Restoree
2276,9,Dinosaur Planet Survivors
235105,7,Dinosaur Planet Survivors
2276,9,Thrice Upon a Time
2276,10,Flight of the Horse
2276,8,Alchemy and Academe
51883,8,Alchemy and Academe
2276,9,Girl from the Emeraline Island (del Rey Book)
2276,10,The Catch Trap
93047,7,The Catch Trap
2276,8,The Steerswoman
2276,7,Greenmagic
2276,10,Zombies of the Gene Pool
56399,10,Zombies of the Gene Pool
235105,8,Zombies of the Gene Pool
2276,7,The Child Queen: The Tale of Guinevere and King Arthur
156150,9,The Child Queen: The Tale of Guinevere and King Arthur
235105,8,The Child Queen: The Tale of Guinevere and King Arthur
2276,8,Witch
2276,9,Protect and Defend
11676,6,Protect and Defend
245827,5,Protect and Defend
2276,9,The Silver Wolf
11676,4,The Silver Wolf
248718,4,The Silver Wolf
2276,9,The Apprentice
31556,10,The Apprentice
2276,9,Time Bomb
2276,9,Watership Down
6575,4,Watership Down
11676,5,Watership Down
16634,10,Watership Down
16795,6,Watership Down
76626,10,Watership Down
89602,5,Watership Down
105517,8,Watership Down
129716,9,Watership Down
156150,10,Watership Down
172742,10,Watership Down
177432,8,Watership Down
189835,7,Watership Down
254206,10,Watership Down
270713,10,Watership Down
2276,3,The Bad Sister
2276,10,One Child
11676,9,One Child
2276,9,High Crimes
11676,6,High Crimes
2276,8,All Fall Down
2276,8,How to Learn Astrology
2276,5,Skipping Christmas
11676,8,Skipping Christmas
16795,10,Skipping Christmas
23768,6,Skipping Christmas
60244,8,Skipping Christmas
104636,8,Skipping Christmas
114368,10,Skipping Christmas
140358,5,Skipping Christmas
162639,8,Skipping Christmas
197659,8,Skipping Christmas
2276,7,The Diversity of Life
2276,5,Harry's game: A novel
2276,10,Woman doctor
2276,8,The Passion of Molly T
2276,10,The Jury
31315,8,The Jury
98391,10,The Jury
110934,6,The Jury
2276,7,Bionic Woman : Extracurricular Activities
2276,8,Once and Future King
2276,9,The First Deadly Sin
2276,10,Northern Girl
2276,9,Muggable Mary
2276,4,Beverly/Diet
2276,5,Save Johanna
2276,6,Bless This House
2276,10,Watchtower
2276,9,Dancers of Arun
2276,8,Harts Hope
2276,8,Floating Dragon
2276,8,Mutation
11676,7,Mutation
16795,7,Mutation
78973,7,Mutation
197659,4,Mutation
2276,10,"Pregnancy After a Loss: A Guide to Pregnancy After a Miscarriage, Stillbirth or Infant Death"
2276,9,Southern Cross
13552,7,Southern Cross
